orgnr,navn,aar,omsetning_kr,driftsres_kr,driftsmargin_pct,aarsresultat_kr,sum_eiendeler_kr,egenkapital_kr,ek_andel_pct
950501480,NORDASFALT,2024,571394945,15820686,2.8,7340196,313911656,130533269,41.6
987597887,GUNVALD JOHANSEN BYGG,2024,393385372,18636835,4.7,13279111,131240905,28279110,21.5
917330069,CONSTO ANLEGG NORD,2024,381917896,2331007,0.6,8690574,317782589,18691591,5.9
986446125,ELEKTRO BODØ,2024,293000684,16142391,5.5,16030636,156170533,56111130,35.9
912326098,HANESETH BODØ,2024,191077707,9018622,4.7,7054276,49502277,11646927,23.5
923413731,ECONORDLAND,2024,153972275,13283136,8.6,13397907,69223804,29735204,42.9
920678092,VEINOR,2024,89294198,7287254,8.2,6567494,41269947,13909319,33.7
965632077,BYGGPARTNER,2024,73794195,25269100,34.2,18564066,106381630,9735156,9.2
984343442,BYGGMESTER FRITZØE,2024,72040277,5557410,7.7,4408450,16094624,1480339,9.2
990549931,INFRA ANLEGG,2024,65373963,9861596,15.1,8125076,50842611,11860680,23.3
877044122,BYGGMESTER ERLING SKIPNES,2024,49044328,-1684631,-3.4,-623534,66211333,11987904,18.1
991401989,FASADERENOVERING,2024,48919932,560804,1.1,261173,14225315,3795945,26.7
922068852,BYGGPROFFEN BODØ,2024,47834230,1094157,2.3,-929213,29120021,370797,1.3
996373207,AREAL BYGGSERVICE,2024,45249890,3381644,7.5,2785924,9431241,1300379,13.8
983620787,BYGGALF,2024,42376657,2646744,6.2,2040374,15760809,7049236,44.7
915920918,ALSTAD MASKIN,2024,42097515,2357840,5.6,2241850,24092004,18529897,76.9
929622685,NORDANLEGG,2024,31433076,2352414,7.5,1796279,7982105,2283123,28.6
983156207,SINUS BODØ,2024,31030520,-1266317,-4.1,-990036,11519544,3502655,30.4
953785250,ELEKTRO,2024,30312734,-4227377,-13.9,33483991,360508539,248113870,68.8
988352594,HANESETH GRUPPEN,2024,29855763,7400399,24.8,26197612,144542405,79064292,54.7
924989467,AK NORD,2024,28711600,-3067804,-10.7,-2453628,9702212,31545,0.3
819328692,STAURBAKK,2024,24612750,1364011,5.5,1194760,18005031,9979033,55.4
978654037,SEMCON NORD,2024,22647012,-2545660,-11.2,-2191640,9166699,158582,1.7
991853529,NITREX,2024,19314139,2067311,10.7,1715266,12425551,6741915,54.3
994263501,ELEKTRIKERN BODØ,2024,18938803,1574430,8.3,1228937,8726604,4219983,48.4
830925392,SERKOM,2024,18206844,1366401,7.5,1204162,15049992,9011712,59.9
924830565,B & J BYGG,2024,17895619,-1072294,-6.0,-1145058,5672597,1343451,23.7
923401083,SNEKKERN,2024,16488514,-2652908,-16.1,-2382925,2979136,-419516,-14.1
918114025,EKSPRESS BYGG,2024,14170020,213684,1.5,145781,2924616,112065,3.8
925149683,FAGERHEIM BYGG,2024,13922747,3107877,22.3,2468388,7131343,2638886,37.0
987616849,GUNVALD JOHANSEN SUPPORT,2024,13113581,-20770,-0.2,65445,2602777,240480,9.2
915894259,BODØ ELEKTRISKE,2024,12335605,1072990,8.7,828190,7855247,4916699,62.6
999023207,STEINAR ANDERSEN ELEKTRISKE,2024,11716304,1738170,14.8,1465282,11848599,10512119,88.7
987989858,BRATTØY ELEKTRISKE,2024,10875382,472162,4.3,362945,6794083,4835972,71.2
931340166,EKSAKT ELEKTRO,2024,10832353,1978353,18.3,1504862,4591640,1755433,38.2
986312161,GRUNN OG BETONG BODØ,2024,10688193,-879400,-8.2,-765597,3500638,-40841,-1.2
928998258,HAMMERON,2024,8664752,465648,5.4,306215,3650655,1210478,33.2
931873830,VEXTI,2024,7409517,-1872920,-25.3,-2048308,3599103,-2257588,-62.7
922229317,PROFFKERAMIKEREN BODØ,2024,6195510,-705210,-11.4,-902603,1163779,-1994272,-171.4
927315963,NBT BYGG,2024,3769082,256944,6.8,247616,1389654,-1013637,-72.9
987604085,NOR-BYGG BODØ,2024,3249479,761976,23.4,605210,1949420,201708,10.3
931200933,LIEN'S ANLEGGSTEKNIKK,2025,2664742,341913,12.8,266160,900520,339757,37.7
833971212,JN TØMRERSERVICE,2024,347814,126878,36.5,100239,212728,130455,61.3
985258279,PEDERSEN & HANSEN BODØ,2024,106150,-85971,-81.0,-94695,29064,-64694,-222.6
