orgnr,navn,nace,ansatte,stiftet,aar,omsetning_kr,driftsres_kr,driftsmargin_pct,aarsresultat_kr,sum_eiendeler_kr,ek_kr,ek_andel_pct
990749655,"HENT AS",41.000,1364,2006,2024,9004348000,517563000,5.7,494829000,5884842000,1373616000,23.3
859739822,"BETONMAST TRØNDELAG AS",41.000,76,1991,2024,690140591,-5361128,-0.8,556018,298220335,20000000,6.7
985671230,"BN ENTREPRENØR AS",43.120,119,2003,2024,353848473,26842055,7.6,23486191,283406828,148929035,52.5
922193770,"CONSTO ANLEGG MIDT AS",43.120,24,2018,2024,304819504,20499154,6.7,16813157,82509882,25600090,31
920205968,"NÆRINGSBYGG AS",41.000,38,2017,2024,270516327,13454453,5,11262167,105845992,22808301,21.5
952228609,"BACKE TRONDHEIM AS",41.000,93,1989,2024,266455000,-15217000,-5.7,-11610000,124383000,30000000,24.1
987345632,"MESTERGRUPPEN ENTREPRENØR AS",41.000,59,2004,2024,169164112,-2462077,-1.5,-368069,89644296,29544016,33
920212220,"ANLEGG OG ENTREPRENØRSERVICE AOES AS",43.120,113,2018,2024,161244641,6069769,3.8,3095162,143512184,16127115,11.2
999327869,"SOLBERG MASKIN AS",43.120,56,2012,2024,153701000,-6497000,-4.2,-5780000,76600000,32204000,42
964454302,"VARMBOBYGG AS",41.000,32,1992,2024,146252077,-300648,-0.2,-2218283,86142667,20000610,23.2
964131198,"ETTO BYGG AS",41.000,44,1992,2024,133708462,9049733,6.8,6042747,88446651,45423891,51.4
984686773,"TØMRERMESTER ARNSTEIN SØRGÅRD AS",41.000,40,2002,2025,125695462,4400455,3.5,4022255,30491251,14887296,48.8
912628752,"BP ENTREPRENØR AS",43.120,41,2013,2024,122253763,5486520,4.5,3813277,46049572,11332973,24.6
922577021,"TIMBERBYGG AS",41.000,41,2019,2024,96788425,4997700,5.2,4215953,26787361,8028703,30
993129755,"BYGGMESTER HOFSTAD AS",41.000,48,2008,2024,92255437,4169495,4.5,3311264,22933978,5448326,23.8
885918042,"AS BYGGSERVICE",41.000,29,2003,2024,90328268,5739219,6.4,4852480,30778030,6191311,20.1
943068593,"DOVRE ENTREPRENØR AS",43.120,26,1987,2024,80165705,4402591,5.5,3533219,42357777,18195529,43
879621992,"HAW ENTREPRENØR AS",41.000,31,1998,2024,73426535,2232669,3,243604,120297635,8122611,6.8
912026353,"KM BYGG ENTREPRENØR AS",41.000,32,2013,2024,70218035,8417548,12,6855917,31472874,10255747,32.6
881533022,"MODULVEGGER TRONDHEIM AS",43.320,42,2000,2024,64347693,-3547996,-5.5,-2662780,16608886,-161946,-1
962369537,"BYGGMESTER GEIR O FURUNES AS",41.000,29,1991,2024,63292512,6045346,9.6,5426201,39181955,19946941,50.9
961393183,"BYÅSEN TREVARE AS",41.000,26,1991,2024,63021457,6140748,9.7,5407433,23834326,13082379,54.9
999610137,"BN BYGG AS",41.000,35,2013,2025,62512802,8279069,13.2,6807247,38753181,24096621,62.2
938524831,"OTTAR AUGDAL AS",43.120,25,1986,2024,61520977,3349867,5.4,3275224,52108830,33366200,64
977323622,"FREDHEIM & PAULSBY BYGG AS",41.000,24,1997,2024,61397850,690488,1.1,702695,17084970,4202114,24.6
916022794,"VALTEC AS",41.000,25,2015,2024,61018113,4632463,7.6,3823885,25577517,10932350,42.7
962246931,"BRAA OG SØRVÅG BYGG AS",43.320,32,1991,2024,57726530,366115,0.6,273150,23013114,13460329,58.5
980568806,"BYGGMESTER KNUDSEN AS",43.320,30,1999,2024,56957716,2056090,3.6,1606472,21223991,8610636,40.6
922636761,"JOHANNESSEN AS",43.120,34,2019,2024,52413203,5155323,9.8,3885761,21163830,5028601,23.8
998477190,"TOTAL TEKNISK AS",43.120,24,2012,2024,48804446,3725444,7.6,2953999,9664667,-9885679,-102.3
946642517,"Murmester Ivar S. Moe A/S",43.910,28,1988,2024,35585194,996652,2.8,978491,15998363,5091950,31.8
926008420,"AS SANERING",43.110,39,2020,2025,28486363,-548471,-1.9,-591154,6815821,546065,8
999118305,"TORVEN ENTREPRENØR AS",43.120,25,2012,2024,14044668,-114174,-0.8,-205920,6025744,2154283,35.8
928911993,"MT FLIS AS",43.910,25,2022,2024,9821779,-97606,-1,-220859,5538013,183800,3.3
922698805,"AGENDI AS",41.000,25,2019,2024,2139612,-2233934,-104.4,-1750477,2361350,1243756,52.7
